Date,Price,Open,High,Low,Vol.,Change %
1/2/2015,89.79,89.11,89.88,88.54,277.62K,1.18%
1/5/2015,90.87,89.31,91.17,89.15,359.76K,1.20%
1/6/2015,91.33,90.65,91.56,90.25,1.33M,0.51%
1/7/2015,92.57,91.55,92.57,90.69,543.40K,1.36%
1/8/2015,93.63,92.57,93.85,92.43,718.78K,1.15%
1/9/2015,93.36,92.86,94.03,89.75,407.26K,-0.29%
1/12/2015,93.97,93.77,94.58,93.35,287.57K,0.65%
1/13/2015,94.28,93.75,95.04,93.66,459.93K,0.33%
1/14/2015,94.84,93.9,94.93,93.37,243.06K,0.59%
1/15/2015,95.25,95.39,95.5,94.58,326.44K,0.43%
1/16/2015,96.7,95.29,96.82,94.97,298.47K,1.52%
1/20/2015,95.53,96.68,97.3,95.17,374.47K,-1.21%
1/21/2015,95.96,95.53,95.97,95.04,203.39K,0.45%
1/22/2015,98.16,96.66,98.17,96.05,364.47K,2.29%
1/23/2015,98.4,98.34,99.04,97.94,328.59K,0.24%
1/26/2015,100.09,98.35,100.11,98.09,352.90K,1.72%
1/27/2015,99.29,99.95,100.41,99.05,286.14K,-0.80%
1/28/2015,98.95,99.74,100.55,98.67,349.46K,-0.34%
1/29/2015,99.32,99.22,99.32,98.22,224.88K,0.37%
1/30/2015,97.52,99.18,99.21,97.47,408.70K,-1.81%
2/2/2015,96.95,97.56,97.87,95.28,518.44K,-0.58%
2/3/2015,97.02,97.17,98.31,95.54,363.88K,0.07%
2/4/2015,96.19,96.72,97.13,95.49,350.97K,-0.86%
2/5/2015,96.89,96.47,97.04,96.34,483.28K,0.73%
2/6/2015,94.27,96.59,96.59,93.62,764.52K,-2.70%
2/9/2015,94.35,94.23,94.98,93.8,641.42K,0.08%
2/10/2015,94.77,94.41,95,93.47,405.71K,0.45%
2/11/2015,94.83,94.89,95.41,94.25,433.94K,0.06%
2/12/2015,96.19,94.86,96.37,94.49,269.89K,1.43%
2/13/2015,94.9,96.07,96.07,94.5,275.92K,-1.34%
2/17/2015,94.66,94.89,95.62,94.27,294.68K,-0.25%
2/18/2015,96.28,94.75,96.29,94,392.05K,1.71%
2/19/2015,94.76,96.1,96.2,94.41,319.68K,-1.58%
2/20/2015,96.09,94.85,96.37,94.75,350.23K,1.40%
2/23/2015,97.4,96.23,97.47,96.19,356.88K,1.36%
2/24/2015,95.7,97.01,97.39,95.08,565.53K,-1.75%
2/25/2015,96.14,95.74,97.34,95.7,542.64K,0.46%
2/26/2015,95.04,95.66,96.11,94.5,427.87K,-1.14%
2/27/2015,95.91,95.2,96.23,94.74,394.14K,0.92%
3/2/2015,97.41,96.17,97.8,96.12,643.10K,1.56%
3/3/2015,97.52,97,97.96,95.89,439.90K,0.11%
3/4/2015,97.09,97.21,97.97,96.5,495.87K,-0.44%
3/5/2015,97.83,97.42,98.76,97.05,424.91K,0.76%
3/6/2015,94.74,96.34,96.34,94.25,669.68K,-3.16%
3/9/2015,95.39,95.02,95.55,94.39,571.15K,0.69%
3/10/2015,94.14,95.05,95.64,94.07,681.56K,-1.31%
3/11/2015,94.94,94.1,95.15,94.02,580.83K,0.85%
3/12/2015,97.46,95.83,97.47,95.66,404.10K,2.65%
3/13/2015,96.77,97.47,97.47,96.04,235.84K,-0.71%
3/16/2015,97.43,97.22,98.36,96.38,323.97K,0.68%
3/17/2015,97.69,97.26,98.02,96.85,325.30K,0.27%
3/18/2015,99.4,97.7,99.65,96.81,395.79K,1.75%
3/19/2015,99.48,98.99,100,98.54,503.14K,0.08%
3/20/2015,102.42,99.9,102.65,99.28,753.03K,2.96%
3/23/2015,101.93,102.14,102.96,101.56,391.08K,-0.48%
3/24/2015,101.09,102.06,102.17,101.08,414.04K,-0.82%
3/25/2015,99.23,101.18,101.66,99.02,425.78K,-1.84%
3/26/2015,97.57,98.97,99.52,97.48,541.13K,-1.67%
3/27/2015,97.4,97.24,97.69,96.6,269.24K,-0.17%
3/30/2015,98.89,97.74,99.1,97.53,375.81K,1.53%
3/31/2015,98.04,98.83,99.4,97.77,326.31K,-0.86%
4/1/2015,96.78,98.08,98.39,96.61,588.60K,-1.29%
4/2/2015,96.94,96.61,97.78,96.54,751.43K,0.17%
4/6/2015,97.64,97.1,97.79,96.94,772.34K,0.72%
4/7/2015,95.75,97.6,97.82,95.75,377.39K,-1.94%
4/8/2015,96.11,95.94,96.45,95.85,319.37K,0.38%
4/9/2015,94.27,95.9,95.93,94.05,1.02M,-1.91%
4/10/2015,95.01,95.08,95.84,94.63,332.42K,0.78%
4/13/2015,94.42,94.8,95.43,94.42,319.83K,-0.62%
4/14/2015,93.58,94.84,95.5,93.55,536.95K,-0.89%
4/15/2015,93.11,93.91,94.47,93.04,310.13K,-0.50%
4/16/2015,93.16,92.7,93.52,92.24,352.89K,0.05%
4/17/2015,92.88,92.93,93.41,91.76,299.66K,-0.30%
4/20/2015,93.01,92.95,93.85,92.55,279.31K,0.14%
4/21/2015,93.78,93.46,94.24,93.45,344.01K,0.83%
4/22/2015,93.54,93.69,94.17,93.32,228.67K,-0.26%
4/23/2015,94.01,93.6,94.28,93.2,288.37K,0.50%
4/24/2015,94.26,94,95.02,93.63,296.99K,0.27%
4/27/2015,93.61,94.48,94.89,93.5,306.50K,-0.69%
4/28/2015,93.96,93.4,94.63,92.95,342.40K,0.37%
4/29/2015,92.05,92.91,93.33,91.84,377.04K,-2.03%
4/30/2015,92.38,92.5,92.56,91.08,646.43K,0.36%
5/1/2015,93.38,92.45,93.65,92.42,507.46K,1.08%
5/4/2015,93.29,93.69,94.2,93.04,408.08K,-0.10%
5/5/2015,90.93,93.02,93.85,90.51,416.53K,-2.53%
5/6/2015,90.51,90.94,91.84,89.61,471.64K,-0.46%
5/7/2015,91.96,90.51,92.1,90.1,431.08K,1.60%
5/8/2015,93.66,93.18,94.8,93.06,330.76K,1.85%
5/11/2015,91.5,93.34,93.65,91.28,248.16K,-2.31%
