Date,Price,Open,High,Low,Vol.,Change %
1/2/2015,16.54,16.49,16.55,16.35,184.56K,1.10%
1/5/2015,16.51,16.47,16.63,16.45,387.43K,-0.18%
1/6/2015,16.42,16.6,16.64,16.37,225.81K,-0.55%
1/7/2015,16.63,16.48,16.65,16.44,492.81K,1.28%
1/8/2015,16.49,16.69,16.69,16.45,440.70K,-0.84%
1/9/2015,16.41,16.48,16.51,16.37,365.45K,-0.49%
1/12/2015,16.37,16.4,16.49,16.25,406.96K,-0.24%
1/13/2015,16.43,16.45,16.52,16.35,276.83K,0.37%
1/14/2015,16.44,16.32,16.51,16.28,232.74K,0.06%
1/15/2015,16.46,16.47,16.53,16.34,248.83K,0.12%
1/16/2015,16.72,16.44,16.72,16.32,283.41K,1.58%
1/20/2015,16.59,16.77,16.78,16.52,300.07K,-0.78%
1/21/2015,16.59,16.55,16.64,16.5,162.04K,0.00%
1/22/2015,16.7,16.62,16.74,16.51,218.13K,0.66%
1/23/2015,16.8,16.7,16.8,16.67,231.26K,0.60%
1/26/2015,16.95,16.77,16.95,16.71,227.35K,0.89%
1/27/2015,16.83,16.86,16.94,16.75,199.63K,-0.71%
1/28/2015,16.68,16.91,16.93,16.66,208.27K,-0.89%
1/29/2015,16.66,16.68,16.74,16.49,333.30K,-0.12%
1/30/2015,16.53,16.64,16.68,16.46,263.66K,-0.78%
2/2/2015,16.65,16.56,16.65,16.4,213.53K,0.73%
2/3/2015,16.75,16.68,16.77,16.57,337.09K,0.60%
2/4/2015,16.7,16.73,16.77,16.59,184.65K,-0.30%
2/5/2015,16.91,16.7,16.91,16.66,229.85K,1.26%
2/6/2015,16.68,16.88,16.9,16.64,270.04K,-1.36%
2/9/2015,16.67,16.65,16.73,16.61,220.70K,-0.06%
2/10/2015,16.68,16.76,16.76,16.57,164.72K,0.06%
2/11/2015,16.64,16.67,16.76,16.6,161.54K,-0.24%
2/12/2015,16.77,16.68,16.79,16.61,241.22K,0.78%
2/13/2015,16.7,16.79,16.79,16.66,178.61K,-0.42%
2/17/2015,16.78,16.7,16.81,16.69,271.97K,0.48%
2/18/2015,16.75,16.75,16.78,16.57,396.03K,-0.18%
2/19/2015,16.66,16.74,16.78,16.6,137.70K,-0.54%
2/20/2015,16.73,16.6,16.74,16.6,201.36K,0.42%
2/23/2015,16.68,16.73,16.73,16.55,183.76K,-0.30%
2/24/2015,16.62,16.61,16.66,16.55,208.94K,-0.36%
2/25/2015,16.63,16.6,16.77,16.6,177.50K,0.06%
2/26/2015,17.09,16.73,17.28,16.73,1.06M,2.77%
2/27/2015,17.09,17.12,17.26,17.09,468.90K,0.00%
3/2/2015,17.42,17.16,17.44,17.16,660.13K,1.93%
3/3/2015,17.42,17.36,17.46,17.23,375.81K,0.00%
3/4/2015,17.52,17.4,17.52,17.3,378.80K,0.57%
3/5/2015,16.78,16.77,16.9,16.71,8.64M,-4.22%
3/6/2015,16.64,16.77,16.82,16.5,1.65M,-0.83%
3/9/2015,16.75,16.71,16.84,16.67,1.28M,0.66%
3/10/2015,16.75,16.76,16.8,16.68,878.08K,0.00%
3/11/2015,16.77,16.74,16.82,16.68,976.14K,0.12%
3/12/2015,16.84,16.75,16.88,16.75,663.27K,0.42%
3/13/2015,16.75,16.86,16.89,16.72,957.14K,-0.53%
3/16/2015,16.81,16.82,16.9,16.79,560.34K,0.36%
3/17/2015,16.93,16.84,16.95,16.82,663.23K,0.71%
3/18/2015,17.06,16.93,17.11,16.89,1.09M,0.77%
3/19/2015,17.14,17.06,17.2,17,708.74K,0.47%
3/20/2015,17.67,17.2,17.69,17.13,1.60M,3.09%
3/23/2015,17.52,17.67,17.68,17.31,1.20M,-0.85%
3/24/2015,17.55,17.5,17.65,17.37,911.97K,0.17%
3/25/2015,17.53,17.62,17.73,17.51,1.00M,-0.11%
3/26/2015,17.54,17.57,17.63,17.4,1.37M,0.06%
3/27/2015,17.07,17.11,17.14,16.99,725.48K,-2.68%
3/30/2015,17.1,17.09,17.21,17.07,733.66K,0.18%
3/31/2015,17.18,17.1,17.26,17.02,1.95M,0.47%
4/1/2015,17.24,17.2,17.38,17.11,803.49K,0.35%
4/2/2015,17.28,17.28,17.35,17.21,449.17K,0.23%
4/6/2015,17.36,17.31,17.42,17.26,391.79K,0.46%
4/7/2015,17.22,17.32,17.34,17.1,437.62K,-0.81%
4/8/2015,17.3,17.27,17.37,17.18,448.24K,0.46%
4/9/2015,17.15,17.25,17.32,17.09,351.08K,-0.87%
4/10/2015,17.22,17.15,17.33,17.15,383.46K,0.41%
4/13/2015,17.25,17.28,17.29,17.17,353.92K,0.17%
4/14/2015,17.28,17.28,17.33,17.25,299.69K,0.17%
4/15/2015,17.16,17.28,17.31,17.16,514.79K,-0.69%
4/16/2015,17.1,17.2,17.28,17.08,777.65K,-0.35%
4/17/2015,17.1,17.07,17.11,17.05,681.16K,0.00%
4/20/2015,17.09,17.14,17.21,17.07,500.92K,-0.06%
4/21/2015,17.1,17.14,17.17,17.06,321.54K,0.06%
4/22/2015,17.05,17.12,17.17,16.99,642.39K,-0.29%
4/23/2015,17.21,17.08,17.28,17.08,452.64K,0.94%
4/24/2015,17.28,17.23,17.36,17.21,345.48K,0.41%
4/27/2015,17.23,17.36,17.47,17.16,362.62K,-0.29%
4/28/2015,17.27,17.17,17.34,17.11,454.33K,0.23%
4/29/2015,17.1,17.22,17.28,17.08,363.73K,-0.98%
4/30/2015,17.09,17.11,17.14,16.95,642.58K,-0.06%
5/1/2015,17.16,17.11,17.25,17.06,473.63K,0.41%
5/4/2015,17.18,17.17,17.27,17.07,484.94K,0.12%
5/5/2015,17.17,17.14,17.27,17.06,527.43K,-0.06%
5/6/2015,17,17.2,17.21,16.95,401.85K,-0.99%
5/7/2015,16.99,16.95,17.03,16.81,491.20K,-0.06%
5/8/2015,17.06,17.1,17.19,17,286.50K,0.41%
5/11/2015,17.04,17.07,17.17,17.01,361.72K,-0.12%
5/12/2015,17.07,17.01,17.08,16.87,298.67K,0.18%
5/13/2015,17.05,17.13,17.16,17,259.10K,-0.12%
5/14/2015,17.29,17.12,17.3,17.11,413.06K,1.41%
5/15/2015,17.41,17.32,17.44,17.22,369.50K,0.69%
5/18/2015,17.39,17.41,17.41,17.24,335.21K,-0.11%
5/19/2015,17.35,17.41,17.41,17.28,314.85K,-0.23%
5/20/2015,17.31,17.33,17.35,17.22,306.99K,-0.23%
5/21/2015,17.24,17.29,17.36,17.18,286.68K,-0.40%
5/22/2015,17.2,17.19,17.3,17.13,314.87K,-0.23%
