Date,Price,Open,High,Low,Vol.,Change %
1/2/2015,76.15,74.47,76.19,74.47,276.36K,1.97%
1/5/2015,75.86,75.86,76.34,75.43,549.69K,-0.38%
1/6/2015,77.18,76.28,77.83,76.27,833.74K,1.74%
1/7/2015,78.14,76.48,78.34,76.29,544.77K,1.24%
1/8/2015,78.34,78.14,78.46,77.36,544.03K,0.26%
1/9/2015,78.83,78.37,79.37,77.98,481.35K,0.63%
1/12/2015,80.86,79.61,80.93,79.5,497.17K,2.58%
1/13/2015,79.89,80.35,80.65,79.3,448.58K,-1.20%
1/14/2015,80.63,79.22,80.83,78.98,545.24K,0.93%
1/15/2015,80.64,80.7,81.16,80.49,464.30K,0.01%
1/16/2015,81.44,80.69,81.54,80.45,416.31K,0.99%
1/20/2015,80.39,81.84,82.09,80.23,485.27K,-1.29%
1/21/2015,81.08,80.46,81.17,80.06,267.25K,0.86%
1/22/2015,82.05,81.25,82.14,81.02,383.64K,1.20%
1/23/2015,82.11,82.11,82.42,81.71,330.46K,0.07%
1/26/2015,82.49,82.04,82.51,81.81,654.30K,0.46%
1/27/2015,82.48,82.47,82.81,82.17,225.86K,-0.01%
1/28/2015,81.72,82.47,83.5,81.66,543.24K,-0.92%
1/29/2015,80.72,81.58,81.87,80.45,862.36K,-1.22%
1/30/2015,79.32,80.7,80.71,79.26,686.87K,-1.73%
2/2/2015,79.57,79.31,79.74,77.77,549.13K,0.32%
2/3/2015,79.27,79.17,79.54,78.44,576.34K,-0.38%
2/4/2015,78.72,79.24,79.55,77.9,760.08K,-0.69%
2/5/2015,77.53,79.01,79.26,76.42,1.32M,-1.51%
2/6/2015,74.88,77.53,77.65,74.59,1.09M,-3.42%
2/9/2015,73.82,75.37,75.53,73.8,755.43K,-1.42%
2/10/2015,73.93,73.79,74.01,72.92,669.72K,0.15%
2/11/2015,73.58,74.08,74.31,73.39,545.53K,-0.47%
2/12/2015,74.41,73.79,74.58,73.26,667.27K,1.13%
2/13/2015,73.82,74.31,74.31,73.36,354.15K,-0.79%
2/17/2015,73.8,73.81,74.74,73.45,368.14K,-0.03%
2/18/2015,75.1,74.1,75.14,73.35,587.48K,1.76%
2/19/2015,73.7,74.84,75.01,73.65,673.21K,-1.86%
2/20/2015,74.49,73.56,74.67,73.41,495.28K,1.07%
2/23/2015,74.46,74.81,75.24,73.89,572.80K,-0.04%
2/24/2015,73.15,74.13,74.13,72.63,509.76K,-1.76%
2/25/2015,73.45,73.25,74.12,72.55,391.23K,0.41%
2/26/2015,71.97,73.42,73.42,71.87,511.44K,-2.01%
2/27/2015,72.47,72.1,72.86,71.72,595.25K,0.69%
3/2/2015,73.26,72.61,74.03,72.61,519.31K,1.09%
3/3/2015,73.1,73.21,73.25,72.42,367.79K,-0.22%
3/4/2015,73.24,73.26,73.43,72.83,702.33K,0.19%
3/5/2015,73.52,73.34,74.16,73.34,556.52K,0.38%
3/6/2015,71.15,72.59,72.59,70.67,544.43K,-3.22%
3/9/2015,71.77,71.64,72,71.26,401.02K,0.87%
3/10/2015,71.85,71.7,72.39,71.63,401.66K,0.11%
3/11/2015,72.27,71.85,72.36,71.63,575.21K,0.58%
3/12/2015,73.94,72.74,74.11,72.23,875.85K,2.31%
3/13/2015,74.15,74.05,74.44,73.4,748.07K,0.28%
3/16/2015,75.36,74.44,75.94,74.11,554.16K,1.63%
3/17/2015,76.43,75.35,76.51,75.3,979.74K,1.42%
3/18/2015,77.72,76.63,77.92,75.91,624.03K,1.69%
3/19/2015,77.46,77.42,78.35,77.18,605.48K,-0.33%
3/20/2015,79.59,77.72,79.8,77.72,971.89K,2.75%
3/23/2015,79.17,79.59,79.99,79.06,566.29K,-0.53%
3/24/2015,78.29,79.18,79.42,78.23,482.77K,-1.11%
3/25/2015,76.91,78.39,78.68,76.77,276.58K,-1.76%
3/26/2015,76.72,76.87,77.64,76.34,274.10K,-0.25%
3/27/2015,76.73,76.78,77.26,76.36,305.62K,0.01%
3/30/2015,77.87,77.07,78.03,76.79,283.14K,1.49%
3/31/2015,77.27,77.59,78.25,77,407.71K,-0.77%
4/1/2015,77.32,77.29,77.62,76.48,463.49K,0.06%
4/2/2015,77.97,76.87,78.32,76.87,393.56K,0.84%
4/6/2015,78.8,78.27,78.99,77.67,427.49K,1.06%
